candidate_id,years_experience,technical_score,communication_score,problem_solving_score,num_interviews,education_level,previous_companies,skills_count,selection_outcome
1,3,8,7,8,2,3,2,6,1
2,1,5,6,5,1,2,1,3,0
3,5,9,8,9,3,4,3,8,1
4,2,6,5,6,2,2,1,4,0
5,7,9,9,9,3,4,4,10,1
6,0,4,5,4,1,1,0,2,0
7,4,8,7,7,2,3,2,7,1
8,1,5,4,5,1,2,1,3,0
9,6,9,8,8,3,4,3,9,1
10,2,6,6,6,2,2,1,4,1
11,3,7,7,7,2,3,2,6,1
12,0,3,4,3,1,1,0,2,0
13,5,8,8,8,3,4,3,8,1
14,1,4,5,4,1,2,1,3,0
15,4,7,7,8,2,3,2,7,1
16,2,5,5,5,1,2,1,4,0
17,6,9,9,9,3,4,4,9,1
18,1,4,4,4,1,1,0,2,0
19,3,7,8,7,2,3,2,6,1
20,0,3,3,3,1,1,0,1,0
21,5,8,7,9,3,4,3,8,1
22,2,6,6,5,2,2,1,4,0
23,4,8,8,8,2,3,2,7,1
24,1,5,5,5,1,2,1,3,0
25,7,9,9,9,3,4,4,10,1
26,0,4,4,4,1,1,0,2,0
27,3,7,7,7,2,3,2,6,1
28,1,5,5,4,1,2,1,3,0
29,5,9,8,9,3,4,3,9,1
30,2,6,5,6,2,2,1,4,1
31,4,8,7,8,2,3,2,7,1
32,0,3,4,3,1,1,0,2,0
33,6,9,9,8,3,4,4,9,1
34,1,4,5,4,1,2,0,3,0
35,3,7,8,7,2,3,2,6,1
36,2,5,4,5,1,2,1,3,0
37,5,8,8,9,3,4,3,8,1
38,1,4,4,4,1,1,0,2,0
39,4,7,7,8,2,3,2,7,1
40,0,3,3,3,1,1,0,1,0
41,6,9,8,9,3,4,4,9,1
42,2,6,6,6,2,2,1,4,1
43,3,7,7,7,2,3,2,6,1
44,1,5,5,5,1,2,1,3,0
45,5,8,9,8,3,4,3,8,1
46,0,4,4,3,1,1,0,2,0
47,4,8,8,7,2,3,2,7,1
48,1,5,4,5,1,2,1,3,0
49,7,9,9,9,3,4,4,10,1
50,2,5,5,5,2,2,1,4,0
51,3,8,7,8,2,3,2,6,1
52,1,4,5,4,1,2,0,3,0
53,5,9,8,9,3,4,3,9,1
54,2,6,6,5,2,2,1,4,0
55,4,7,8,7,2,3,2,7,1
56,0,3,3,4,1,1,0,2,0
57,6,9,9,9,3,4,4,9,1
58,1,5,4,5,1,2,1,3,0
59,3,7,7,8,2,3,2,6,1
60,2,5,5,5,1,2,1,3,0
61,5,8,8,8,3,4,3,8,1
62,0,4,4,4,1,1,0,2,0
63,4,8,7,8,2,3,2,7,1
64,1,4,5,4,1,2,1,3,0
65,7,9,9,9,3,4,4,10,1
66,2,6,5,6,2,2,1,4,1
67,3,7,8,7,2,3,2,6,1
68,0,3,4,3,1,1,0,1,0
69,5,9,8,9,3,4,3,9,1
70,1,5,5,5,1,2,1,3,0
71,4,8,8,8,2,3,2,7,1
72,2,5,5,4,1,2,1,4,0
73,6,9,9,8,3,4,4,9,1
74,1,4,4,5,1,1,0,2,0
75,3,7,7,7,2,3,2,6,1
76,2,6,6,6,2,2,1,4,1
77,5,8,9,8,3,4,3,8,1
78,0,3,3,3,1,1,0,1,0
79,4,7,8,7,2,3,2,7,1
80,1,5,4,5,1,2,1,3,0
81,7,9,9,9,3,4,4,10,1
82,2,5,6,5,2,2,1,4,0
83,3,8,7,8,2,3,2,6,1
84,0,4,4,4,1,1,0,2,0
85,5,9,8,9,3,4,3,9,1
86,1,4,5,4,1,2,0,3,0
87,4,8,7,8,2,3,2,7,1
88,2,6,5,5,2,2,1,4,0
89,6,9,9,9,3,4,4,9,1
90,1,5,5,5,1,2,1,3,0
91,3,7,8,7,2,3,2,6,1
92,0,3,4,3,1,1,0,2,0
93,5,8,8,9,3,4,3,8,1
94,2,5,5,5,1,2,1,3,0
95,4,8,7,7,2,3,2,7,1
96,1,4,4,4,1,1,0,2,0
97,7,9,9,9,3,4,4,10,1
98,2,6,6,6,2,2,1,4,1
99,3,7,7,8,2,3,2,6,1
100,0,3,3,3,1,1,0,1,0
